Identifier,Company Name,Country of Headquarters,TRBC Industry Name,"YoY % Chg in
BEKS.JK,Bank Pembangunan Daerah Banten Tbk PT,Indonesia,Banks,1.7%,12.0%,-10.1%,-43.7%,0.1%,2.0%,57.5%,-21.2%,-42.9%,-3.8%,-3.2%,51.0%,932.4%,-63.8%,"216,587,008.77","212,986,829.42","190,118,526.32","211,413,247.86","375,415,561.96","374,928,904.35","367,541,393.29","233,315,590.20","296,127,965.18","518,506,300.48","538,874,177.63","556,416,095.53","368,420,860.93","35,684,952.80","291,650,860.67","327,050,048.19","474,196,210.53","232,029,131.05","477,185,014.41","583,009,600.00","485,249,465.54","320,298,440.98","385,586,869.79","655,600,000.00","648,426,973.68","704,853,894.08","588,706,291.39","128,954,913.94",-10.8%,-31.0%,104.4%,-51.4%,-18.2%,20.1%,51.5%,-16.9%,-41.2%,1.1%,-8.0%,19.7%,356.5%,-8.5%,"81,628,190.97","79,466,431.10","105,499,578.95","56,345,726.50","13,113,112.39","23,239,721.74","33,867,010.69","41,620,786.93","27,867,609.72",,"57,000,328.95",,,,"19,883,533.61","18,681,079.34","21,245,192.98","47,922,649.57","19,247,982.71","22,649,739.13","20,210,173.24",,"17,826,840.77",,"37,682,894.74","58,437,590.86","35,772,516.56","34,673,181.57",90.6%,200.9%,385.8%,487.4%,238.9%,175.2%,138.4%,345.3%,143.2%,102.9%,82.7%,78.1%,163.1%,193.1%,0.7%,-3.5%,-2.9%,-3.9%,-2.1%,-1.5%,-1.5%,-9.1%,-5.1%,-1.7%,1.2%,1.0%,-4.5%,-11.1%
BSWD.JK,Bank Of India Indonesia Tbk PT,Indonesia,Banks,31.3%,-11.4%,-7.0%,-13.5%,4.4%,-4.8%,-34.1%,-2.4%,20.7%,10.5%,21.5%,33.7%,13.6%,29.5%,"151,224,569.20","115,215,135.13","130,105,198.81","139,932,914.09","161,709,451.62","154,939,180.44","162,728,118.01","246,750,483.33","252,816,396.03","209,482,757.52","189,555,858.13","156,036,063.89","116,691,478.41","102,726,523.57","169,432,921.89","154,158,059.59","182,629,585.74","201,284,346.92","188,264,462.55","243,031,414.89","232,690,628.21","349,724,291.75","325,178,890.36","245,512,949.95","213,643,929.08","185,193,071.18","136,288,280.20","128,581,933.37",9.9%,-15.6%,-9.3%,6.9%,-22.5%,4.4%,-33.5%,7.5%,32.4%,14.9%,15.4%,35.9%,6.0%,32.3%,"211,597,108.90","140,589,122.81","74,012,464.39","76,864,265.13","72,410,365.22","75,497,972.72","75,174,239.05","64,018,570.91","37,596,607.43","31,263,157.89",,,,,"14,600,470.49","11,502,858.13","6,849,432.83","32,647,167.58","33,469,236.63","27,660,490.47","8,703,579.90","10,227,649.06","2,975,687.29","3,366,755.08","2,667,312.89","3,139,116.11","4,230,008.14","1,896,248.50",56.0%,77.5%,83.4%,58.8%,54.6%,135.5%,39.4%,30.3%,29.1%,32.5%,42.5%,35.6%,39.2%,37.0%,0.1%,-1.1%,0.5%,0.6%,0.3%,-3.4%,-11.1%,-0.8%,3.2%,3.6%,3.2%,3.5%,3.1%,3.5%
BABP.JK,Bank MNC Internasional Tbk PT,Indonesia,Banks,10.0%,18.3%,-7.2%,4.6%,1.2%,-15.2%,15.3%,3.3%,11.9%,-15.5%,-4.0%,-18.5%,21.5%,28.0%,"639,425,955.67","581,419,368.42","491,373,860.40","529,357,997.12","505,945,600.00","500,096,277.18","589,591,314.03","511,227,058.40","495,059,208.40","442,284,457.24","523,682,748.91","545,707,899.78","669,438,760.47","550,824,217.41","863,331,256.02","802,968,070.18","703,044,943.02","639,293,804.03","643,338,086.96","682,974,640.62","807,627,394.21","745,836,343.85","645,518,820.68","590,985,197.37","683,463,038.42","710,739,690.95","856,495,684.18","675,109,310.62",7.5%,14.2%,10.0%,-0.6%,-5.8%,-15.4%,8.3%,15.5%,9.2%,-13.5%,-3.8%,-17.0%,26.9%,30.9%,"159,832,251.85","143,281,052.63","86,158,048.43","87,101,801.15","76,852,173.91","69,134,463.69","118,702,078.69","101,768,661.59",,,,,,,"22,980,918.73","26,347,017.54","28,858,119.66","31,439,913.54","29,869,773.91","37,935,274.60","16,428,359.32","15,188,538.27",,,"30,685,060.85","35,228,031.35","29,538,738.70","31,812,276.43",67.1%,84.2%,88.0%,86.4%,82.3%,116.1%,89.7%,95.7%,108.7%,94.1%,90.7%,101.3%,81.1%,81.2%,1.0%,0.2%,0.1%,0.3%,0.7%,-7.6%,0.1%,0.1%,-0.8%,-0.9%,0.1%,-1.8%,0.5%,0.2%
BKSW.JK,Bank QNB Indonesia Tbk PT,Indonesia,Banks,-10.2%,-17.5%,-19.7%,30.1%,-23.0%,-23.4%,-13.6%,23.7%,80.8%,104.9%,50.3%,16.4%,25.0%,11.0%,"594,675,425.63","662,286,666.67","802,523,076.92","999,741,930.84","768,355,965.22","998,359,675.64","1,302,983,518.93","1,508,038,012.33","1,219,197,011.31","674,151,480.26","329,066,251.30","218,981,677.70","188,134,258.75","150,495,688.87","681,781,304.21","850,726,666.67","891,601,353.28","1,283,768,155.62","1,075,825,113.04","1,470,350,092.15","1,508,780,994.80","1,573,312,948.86","1,455,980,613.89","748,185,361.84","381,042,575.29","293,548,896.25","265,383,564.69","227,585,549.02",-19.9%,-4.6%,-30.5%,19.3%,-26.8%,-2.5%,-4.1%,8.1%,94.6%,96.4%,29.8%,10.6%,16.6%,23.6%,"260,601,156.44","232,815,859.65","228,196,153.85","254,773,342.94","278,073,669.57","255,668,337.63","236,461,544.17","151,377,947.04","166,424,555.74","116,726,644.74",,,,,"6,159,331.83","489,403.51","39,575,213.68","57,014,841.50","19,430,956.52","19,119,719.87","93,076,911.66","39,108,233.59","3,819,789.98","1,557,812.50","2,397,403.95","3,486,754.97","4,014.99","8,666,129.37",69.7%,91.4%,127.7%,83.4%,28.4%,88.3%,91.1%,67.3%,73.7%,99.7%,123.1%,90.5%,88.4%,86.1%,-2.3%,-8.2%,-1.4%,0.0%,0.1%,-3.9%,-3.5%,0.9%,1.0%,0.1%,-0.8%,0.5%,0.2%,0.3%
BMRI.JK,Bank Mandiri (Persero) Tbk PT,Indonesia,Banks,19.5%,6.1%,7.5%,1.4%,15.3%,6.9%,9.8%,12.4%,0.5%,10.4%,-3.7%,17.9%,27.8%,31.7%,"87,313,374,472.23","73,040,025,056.22","68,839,527,017.54","64,047,264,601.14","63,192,004,394.81","54,810,926,121.74","51,266,623,074.09","46,701,408,760.21","41,559,622,996.01","41,361,432,067.85","37,480,139,555.92","38,912,399,273.10","33,005,192,384.11","25,824,015,435.87","103,631,997,466.71","96,795,755,798.27","91,578,015,017.54","82,119,046,296.30","68,225,392,002.88","59,675,923,269.57","60,788,896,940.66","57,325,598,663.70","50,006,632,644.18","52,839,761,147.01","46,793,852,549.34","51,633,932,917.96","48,002,652,759.38","41,070,740,255.41",7.1%,5.7%,11.5%,20.4%,14.3%,-1.8%,6.0%,14.6%,-5.4%,12.9%,-9.4%,7.6%,16.9%,17.1%,"13,622,882,364.40","11,633,334,532.61","11,613,523,157.89",,"12,907,864,625.36","11,022,083,200.00","10,734,715,812.75","9,677,542,316.26","6,764,802,901.70","6,385,472,536.35","5,415,624,095.39",,,,"1,717,648,262.42","1,213,525,730.81","1,666,647,508.77",,"1,499,163,760.81","1,551,934,678.26","1,845,984,813.86","1,943,906,533.04","1,115,511,280.38","912,587,479.81","734,375,822.37","752,326,064.38","768,018,211.92","665,198,889.51",42.9%,47.2%,50.9%,54.3%,50.7%,48.2%,50.1%,46.6%,48.1%,50.4%,47.9%,47.0%,48.4%,41.6%,3.6%,3.0%,2.3%,1.7%,2.9%,2.9%,2.5%,1.9%,3.0%,3.3%,3.5%,3.5%,3.3%,3.3%
AGRO.JK,Bank Raya Indonesia Tbk PT,Indonesia,Banks,-39.4%,-48.1%,-1.4%,26.1%,35.2%,32.8%,37.4%,15.6%,25.4%,16.9%,31.8%,-7.0%,2.1%,11.7%,"414,041,045.10","682,755,882.60","1,316,158,644.02","1,335,196,361.67","1,058,763,120.42","782,934,398.89","589,445,352.56","428,922,051.14","371,056,216.80","295,991,423.68","253,144,103.12","192,059,880.24","206,470,417.21","202,212,543.42","630,703,825.25","968,252,563.44","1,653,022,916.17","1,577,050,137.97","1,262,267,615.72","917,827,097.60","685,040,289.90","498,073,331.74","433,831,441.68","346,569,393.83","352,672,406.96","309,275,823.84","269,051,507.94","262,284,989.92",-34.9%,-41.4%,4.8%,24.9%,37.5%,34.0%,37.5%,14.8%,25.2%,-1.7%,14.0%,15.0%,2.6%,31.2%,"199,597,193.83","146,195,431.51","296,613,079.77","319,286,088.62","298,304,550.89","226,416,854.55","139,448,912.40","94,494,033.51",,"65,783,346.38",,,,,"14,490,076.65","32,392,680.70","68,950,880.20","106,808,850.14","31,141,149.36",,"17,399,326.50","8,221,725.86",,"13,546,269.82","15,006,057.42","10,389,660.15","24,281,338.48","15,774,625.48",45.6%,41.0%,45.0%,40.5%,38.6%,41.6%,45.3%,49.6%,58.7%,64.1%,63.0%,84.2%,76.6%,81.7%,0.8%,-14.7%,0.2%,0.3%,1.5%,1.4%,1.4%,1.5%,1.5%,1.6%,1.4%,1.4%,0.6%,0.2%
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk PT,Indonesia,Banks,14.3%,-0.2%,-2.1%,5.7%,11.2%,7.4%,9.9%,16.0%,2.3%,12.2%,-1.2%,17.3%,16.1%,26.7%,"73,426,628,970.44","64,258,214,905.24","64,374,132,140.35","65,773,558,831.91","62,254,216,210.37","55,977,282,434.78","52,108,138,591.96","47,404,860,133.63","40,883,577,003.99","39,946,207,269.79","35,602,529,605.26","36,042,749,532.71","30,731,236,203.09","26,472,668,073.29","89,008,579,408.90","84,626,955,348.54","80,847,203,438.60","79,146,078,846.15","73,079,802,161.38","64,865,462,121.74","61,000,940,803.54","54,943,797,030.44","48,254,723,177.37","49,934,272,536.35","40,898,780,756.58","46,136,140,498.44","42,035,326,269.32","37,176,026,873.96",5.2%,4.7%,2.1%,8.3%,12.7%,6.3%,11.0%,13.9%,-3.4%,22.1%,-11.4%,9.8%,13.1%,35.2%,"15,521,701,786.29","15,080,498,811.44","16,279,441,614.04",,"13,473,502,089.34","11,473,011,895.65",,,"6,528,283,859.27",,"5,424,674,342.11",,,,"2,390,454,498.21","1,910,935,303.57","2,144,871,578.95",,"1,725,317,723.34","1,229,963,756.52",,,"825,587,087.41",,"553,942,269.74","653,839,044.65","1,023,393,929.36","1,107,027,984.45",48.0%,51.6%,55.9%,60.4%,42.3%,41.9%,42.1%,42.8%,44.8%,43.8%,42.8%,44.6%,42.5%,43.2%,4.0%,3.6%,2.3%,1.8%,3.2%,3.4%,3.5%,3.6%,3.9%,4.3%,4.7%,4.7%,4.3%,4.1%
BNBA.JK,Bank Bumi Arta Tbk PT,Indonesia,Banks,-12.3%,-14.9%,-12.9%,12.3%,-0.6%,-0.2%,6.3%,9.3%,22.9%,0.4%,30.1%,38.6%,25.7%,18.3%,"239,758,272.19","273,304,413.48","321,229,125.70","368,883,874.89","328,477,053.58","330,487,583.71","331,029,372.41","311,439,473.12","285,013,321.12","231,995,913.19","231,119,961.56","177,688,090.33","128,188,713.41","102,000,784.61","320,329,447.09","440,407,393.65","426,734,815.62","429,178,355.68","395,065,946.52","408,308,898.03","424,615,537.75","380,105,409.21","361,387,541.00","278,734,895.95","301,995,636.49","268,951,032.13","241,913,338.40","206,692,526.89",-27.3%,3.2%,-0.6%,8.6%,-3.2%,-3.8%,11.7%,5.2%,29.7%,-7.7%,12.3%,11.2%,17.0%,40.1%,"195,785,444.95",,"105,754,792.87","106,546,196.14","100,742,364.70","98,029,353.28","93,711,666.37","86,795,089.14","37,486,881.98","35,103,494.83",,,,,"9,754,812.74",,"8,577,672.29","5,677,414.93","5,004,912.69","5,668,348.87","6,070,379.01","2,429,377.04","717,273.74","498,536.86","1,475,635.52","1,936,191.72","2,928,622.59","2,223,256.51",71.6%,76.6%,80.9%,76.6%,64.7%,60.2%,59.2%,68.0%,71.1%,70.8%,65.5%,62.4%,69.4%,66.1%,0.6%,0.7%,0.7%,1.0%,1.8%,1.7%,1.6%,1.3%,1.5%,2.1%,2.4%,2.0%,1.5%,1.9%
BBKP.JK,Bank KB Bukopin Tbk PT,Indonesia,Banks,-16.8%,-5.7%,-18.1%,9.2%,-14.1%,2.3%,11.1%,4.3%,12.1%,-15.5%,5.5%,34.8%,28.1%,23.5%,"3,145,305,621.59","3,778,957,754.39","4,007,565,242.17","4,895,442,219.02","4,483,032,904.35","5,215,959,528.20","5,096,359,613.96","4,585,240,406.24","4,395,471,486.27","3,920,457,565.79","4,641,426,064.38","4,399,874,061.81","3,265,071,404.78","2,549,494,373.67","4,030,341,599.74","4,615,027,017.54","4,149,807,621.08","5,940,667,795.39","5,535,166,608.70","6,696,477,478.81","6,419,770,378.62","5,697,993,906.42","5,461,979,483.04","4,776,073,930.92","5,884,412,772.59","5,489,202,317.88","4,800,945,030.54","3,519,015,498.94",-12.7%,11.2%,-30.1%,7.3%,-17.3%,4.3%,12.7%,4.3%,14.4%,-18.8%,7.2%,14.3%,36.4%,32.5%,"433,683,841.95","656,647,929.82","391,017,877.49","457,923,487.03","450,253,982.61","371,366,236.64","426,487,305.12",,"454,925,121.16","414,999,342.11",,,,,"221,392,868.62","685,288,000.00","449,323,504.27","298,904,971.18","214,986,226.09","343,420,125.32","174,972,160.36",,"123,545,557.35","96,691,776.32","131,309,761.16","127,224,061.81","108,857,856.75","74,352,123.14",177.1%,249.8%,178.6%,98.9%,80.2%,76.2%,70.5%,62.4%,68.8%,66.5%,61.1%,59.4%,65.0%,71.6%,-5.7%,-3.7%,-4.4%,0.1%,0.2%,0.1%,0.5%,1.4%,1.2%,1.8%,1.7%,1.8%,1.6%,1.5%
SDRA.JK,Bank Woori Saudara Indonesia 1906 Tbk PT,Indonesia,Banks,10.9%,8.0%,11.4%,10.6%,22.8%,12.8%,13.9%,20.8%,9.4%,125.8%,-25.2%,47.8%,31.3%,38.3%,"2,810,985,254.95","2,534,759,588.82","2,345,935,438.60","2,106,771,296.30","1,904,157,564.84","1,550,926,747.83","1,374,837,007.00","1,207,188,418.71","999,320,856.00","913,298,222.94","404,400,822.37","540,392,211.84","365,554,194.26","278,446,973.90","2,055,581,682.36","1,856,177,192.42","1,729,530,736.84","1,328,128,205.13","1,501,480,187.32","1,209,138,573.91","1,347,959,085.88","1,164,635,263.55","1,049,187,957.93","924,132,956.38","319,135,279.61","664,059,293.87","474,035,651.21","311,347,695.72",10.7%,7.3%,30.2%,-11.5%,24.2%,-10.3%,15.7%,11.0%,13.5%,189.6%,-51.9%,40.1%,52.3%,39.0%,"546,281,000.32","514,723,160.94","510,447,929.82","374,787,037.04",,"299,388,730.43","292,919,941.02","172,413,214.55","158,324,555.68","184,056,865.91","122,366,611.84",,,,"35,780,772.98","27,140,893.03","22,137,614.04","23,678,418.80",,"26,895,373.91","21,277,405.09","18,645,657.02","20,014,145.81","20,651,857.84","1,452,878.29","10,848,494.29","6,086,092.72","5,045,086.06",45.9%,36.2%,54.2%,50.9%,48.7%,45.4%,52.8%,58.9%,60.4%,34.4%,27.8%,58.5%,66.8%,63.3%,1.7%,2.3%,2.0%,1.8%,2.0%,2.6%,2.4%,2.0%,2.0%,1.7%,3.9%,2.5%,2.9%,2.9%
MCOR.JK,Bank China Construction Bank Indonesia Tbk PT,Indonesia,Banks,17.4%,10.2%,-8.8%,4.9%,24.4%,7.6%,21.9%,15.5%,-5.7%,23.8%,-3.7%,-7.2%,55.8%,94.8%,"1,224,172,718.42","1,042,887,182.78","946,014,175.44","1,036,738,034.19","988,395,028.82","794,818,713.04","738,612,532.25","605,995,768.37","524,618,861.08","556,128,109.85","449,118,832.24","466,527,414.33","502,764,128.04","322,648,084.40","1,319,354,465.74","1,157,378,027.63","1,357,763,578.95","1,317,123,575.50","1,041,474,495.68","916,049,808.70","960,363,361.59","719,048,923.53","618,421,400.07","676,343,699.52","554,226,398.03","585,245,794.39","644,589,955.85","417,250,749.58",14.0%,-14.8%,3.1%,26.5%,13.7%,-4.6%,33.6%,16.3%,-8.6%,22.0%,-5.3%,-9.2%,54.5%,60.9%,"390,669,373.17","368,118,149.69","392,975,087.72","396,496,082.62","170,182,204.61","148,456,347.83","148,729,819.39",,,,,,,,"71,010,003.25","44,717,507.23","60,008,982.46","39,016,096.87","42,058,573.49","39,416,000.00","35,777,073.35",,,,,"9,233,437.18","16,172,847.68","6,820,655.19",54.2%,60.5%,64.9%,81.4%,78.7%,70.1%,77.3%,82.0%,72.5%,76.9%,66.0%,67.2%,76.4%,57.6%,1.2%,0.7%,0.4%,0.3%,0.6%,0.9%,0.5%,0.7%,1.0%,0.8%,1.6%,2.0%,0.9%,1.1%
BACA.JK,Bank Capital Indonesia Tbk PT,Indonesia,Banks,14.1%,-64.4%,-34.2%,24.5%,5.7%,6.5%,12.4%,14.8%,24.4%,5.1%,52.0%,-4.8%,57.7%,107.4%,"184,635,785.42","161,779,438.60","454,577,564.10","690,822,406.34","554,673,043.48","524,539,845.19","492,720,118.78","438,502,792.89","382,061,389.34","307,129,029.61","292,137,798.55","192,140,176.60","201,882,398.67","128,037,716.77","1,003,135,946.03","1,350,095,929.82","1,222,489,672.36","1,160,707,780.98","1,092,381,286.96","1,040,594,249.91","919,188,047.51","785,636,053.68","663,493,457.19","507,665,542.76","515,615,264.80","446,177,704.19","404,611,104.94","283,295,559.66",-25.7%,10.4%,5.3%,6.3%,5.0%,13.2%,17.0%,18.4%,30.7%,-1.5%,15.6%,10.3%,42.8%,162.4%,"207,894,249.92","145,367,789.47","103,593,660.97","92,630,547.55","87,897,808.70","90,628,750.46","84,325,389.76","75,590,859.63",,"65,024,095.39",,,,,"314,423.39",0.00,0.00,"156,884,870.32","139,878,539.13","96,580,390.71","14,509,131.40","3,456,945.96","1,287,560.58","1,132,154.61","6,193,146.42","1,563,024.28","2,099,722.38","164,534.39",91.1%,100.3%,106.5%,67.9%,60.0%,67.9%,64.0%,66.4%,60.8%,60.6%,62.4%,68.2%,68.0%,59.8%,0.2%,0.2%,0.4%,0.1%,0.8%,0.8%,1.0%,1.1%,1.2%,1.5%,1.2%,0.8%,0.7%,1.1%
BTPN.JK,Bank BTPN Tbk PT,Indonesia,Banks,7.8%,-0.9%,-2.3%,-6.4%,116.9%,-2.1%,2.6%,10.2%,1.2%,10.9%,-6.1%,20.6%,29.7%,55.6%,"9,869,649,236.77","9,158,008,159.33","9,238,250,877.19","9,457,998,148.15","10,107,563,688.76","4,661,058,434.78","4,759,139,108.00","4,638,686,414.25","4,210,649,111.35","4,158,841,114.70","3,751,462,582.24","3,993,759,709.24","3,311,329,139.07","2,552,745,252.64","7,731,126,794.41","7,390,470,864.12","7,947,928,491.23","7,645,173,219.37","7,101,797,766.57","4,929,329,113.04","5,068,513,969.78","4,983,546,176.69","4,373,210,591.22","4,308,986,429.73","4,294,196,463.82","4,681,059,293.87","3,944,047,350.99","2,844,495,169.35",4.6%,-7.0%,4.0%,7.7%,44.1%,-2.7%,1.7%,14.0%,1.5%,0.3%,-8.3%,18.7%,38.7%,44.4%,"2,378,297,694.06","2,246,452,875.04","2,255,809,192.98","2,095,934,188.03","1,963,960,590.78",,"1,113,853,151.49","1,082,751,224.94","920,838,157.42",,,,,,"136,185,060.08","133,338,194.67","160,230,105.26","116,965,811.97","83,040,706.05",,"43,478,289.72","37,268,225.69","17,146,681.18",,,"23,285,358.26","24,209,381.90","29,564,464.19",54.3%,53.0%,53.3%,55.9%,56.7%,57.9%,69.7%,63.3%,61.7%,57.8%,53.6%,53.8%,54.0%,59.4%,1.7%,2.3%,2.1%,1.4%,2.8%,3.0%,2.1%,3.0%,3.1%,3.5%,4.5%,4.7%,4.4%,4.0%
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk PT,Indonesia,Banks,3.9%,6.1%,6.7%,13.0%,-0.1%,10.2%,16.6%,1.6%,7.4%,-17.6%,19.7%,0.2%,43.2%,50.9%,"7,321,806,231.93","7,048,997,894.74","6,645,276,353.28","6,228,595,317.00","5,509,997,356.52","5,515,322,889.79","5,004,122,939.87","4,290,987,159.96","4,223,008,077.54","3,932,625,493.42","4,771,612,253.37","3,985,720,198.68","3,977,634,314.27","2,777,692,887.47","8,715,164,535.82","8,672,125,824.56","7,738,530,769.23","6,564,790,057.64","6,353,293,982.61","6,880,631,256.91","6,293,833,259.09","5,200,864,127.68","4,980,995,557.35","4,565,013,898.03","5,959,249,325.03","4,894,201,324.50","3,920,833,647.97","2,764,539,490.45",0.5%,12.1%,17.9%,3.3%,-7.7%,9.3%,21.0%,4.4%,9.1%,-23.4%,21.8%,24.8%,41.8%,45.1%,"909,304,079.67","805,022,526.32","735,845,014.25","707,240,706.05","662,690,852.17","623,581,570.22","597,818,634.00","459,952,992.38","463,476,009.69","439,995,312.50",,,,,"164,263,539.99","121,557,473.68","91,863,532.76","95,963,328.53","88,231,791.30","80,818,503.50","81,062,360.80","117,662,314.11","166,580,371.57","110,975,822.37","88,250,051.92","38,706,732.89","48,810,771.79",,72.3%,69.3%,73.3%,70.5%,69.6%,69.4%,66.2%,67.0%,60.8%,56.5%,54.2%,51.3%,46.9%,52.4%,1.7%,1.7%,1.6%,1.6%,1.6%,1.5%,1.5%,2.1%,1.9%,2.5%,2.4%,2.7%,3.2%,3.4%
