Identifier,Company Name,Country of Headquarters,TRBC Industry Name,"YoY % Chg in
BBTN.JK,Bank Tabungan Negara (Persero) Tbk PT,Indonesia,Banks,13.8%,-0.6%,3.8%,-2.2%,10.0%,12.8%,20.3%,21.3%,7.5%,13.1%,-2.2%,20.8%,22.8%,32.4%,"20,662,954,011.04","18,156,555,155.80","18,273,651,298.25","17,596,383,190.88","17,990,561,455.33","16,347,798,260.87","14,495,731,220.05","12,051,250,705.27","9,931,463,619.88","9,236,318,093.70","8,168,603,125.00","8,352,030,010.38","6,911,654,083.89","5,626,742,365.35","22,715,073,400.45","20,693,767,041.44","20,773,553,333.33","19,873,512,321.94","16,563,680,187.32","16,197,481,460.87","14,590,433,026.17","12,148,511,655.53","9,389,181,574.17","8,695,472,213.25","7,934,447,286.18","8,450,123,156.80","6,927,481,788.08","5,341,956,468.63",9.8%,-0.4%,4.5%,20.0%,2.3%,11.0%,20.1%,29.4%,8.0%,9.6%,-6.1%,22.0%,29.7%,23.6%,"1,763,824,488.47","1,447,697,205.27","1,300,464,000.00","1,255,402,706.55","1,515,664,048.99","1,423,310,330.43","1,380,534,389.97","1,220,724,498.89","882,961,407.33",,"812,380,016.45",,,,"1,313,925,560.25","1,132,970,510.76","1,220,495,649.12","1,250,193,732.19","447,398,487.03","465,994,991.30","389,832,141.54","347,159,910.91","344,810,301.05",,"334,353,782.89","345,410,903.43","192,585,540.84","186,846,085.51",56.2%,55.7%,58.3%,62.1%,65.5%,56.9%,57.4%,58.4%,58.2%,64.9%,61.8%,62.1%,63.1%,60.5%,1.0%,1.0%,0.8%,0.7%,0.1%,1.3%,1.6%,1.7%,1.6%,1.1%,1.8%,1.9%,1.9%,2.0%
BSIM.JK,Bank Sinarmas Tbk PT,Indonesia,Banks,-24.5%,-14.9%,-12.9%,14.6%,0.5%,-4.3%,13.8%,9.1%,27.6%,-15.8%,-4.4%,45.1%,36.2%,44.8%,"885,156,312.24","1,172,649,473.68","1,377,601,495.73","1,580,873,198.85","1,380,023,095.65","1,373,768,227.05","1,435,783,221.97","1,261,137,903.52","1,155,697,657.51","905,780,756.58","1,075,527,622.01","1,124,894,039.74","775,292,726.26","569,285,244.16","2,082,311,275.30","2,669,529,684.21","2,195,520,940.17","1,833,750,432.28","1,586,847,095.65","1,619,454,699.59","1,929,712,323.68","1,702,692,129.13","1,430,729,240.71","1,157,544,572.37","1,351,303,115.26","1,675,136,754.97","1,131,156,801.78","750,642,038.22",-22.0%,21.6%,19.7%,15.6%,-2.0%,-16.1%,13.3%,19.0%,23.6%,-14.3%,-19.3%,48.1%,50.7%,52.1%,,"487,238,385.96","396,862,678.06","394,403,530.26","312,456,626.09","320,233,984.52","300,484,112.84","222,951,396.45","230,218,174.47","207,901,069.08",,,,,,"59,617,614.04","70,753,490.03","129,738,400.58","66,642,573.91","52,312,642.83","30,078,173.72","47,396,082.70","32,557,835.22","22,743,585.53","34,484,735.20","10,038,189.85","9,810,993.89","12,478,343.95",91.6%,95.2%,97.0%,98.1%,97.3%,83.5%,79.6%,86.6%,83.8%,75.8%,71.0%,70.2%,62.1%,65.3%,0.6%,0.3%,0.3%,0.2%,0.2%,1.3%,1.7%,1.0%,1.0%,1.8%,1.8%,1.1%,1.5%,1.0%
BMAS.JK,Bank Maspion Indonesia Tbk PT,Indonesia,Banks,-2.5%,17.4%,24.8%,13.8%,3.7%,7.3%,5.8%,15.9%,4.3%,-13.1%,32.1%,,,,"560,972,395.95","575,204,144.14","490,063,136.89","392,815,931.56","345,119,708.66","332,677,742.50","309,929,560.73","292,801,580.99","252,691,115.27","242,361,740.87","278,766,029.80","210,992,743.27",,,"747,593,457.24","894,700,194.25","619,665,702.21","449,726,121.04","375,406,082.64","353,103,913.90","319,050,962.73","321,243,613.13","334,219,416.64","286,930,247.29","312,289,951.61","265,746,260.82",,,-16.4%,44.4%,37.8%,19.8%,6.3%,10.7%,-0.7%,-3.9%,16.5%,-8.1%,17.5%,,,,"197,251,851.08","88,333,098.04","88,369,014.96","85,097,548.85","80,754,009.11","81,467,133.51","79,368,676.84","58,562,708.02","48,895,206.22","48,869,597.70",,,,,"19,591,326.57","13,768,704.07","9,477,876.14","10,363,841.71","10,460,739.48","7,290,908.22","2,833,245.58","1,505,931.45",,"1,470,373.36","671,219.73",,,,62.1%,67.0%,67.1%,71.2%,65.3%,65.0%,63.7%,75.1%,81.2%,77.1%,78.5%,70.0%,,,1.0%,0.8%,1.0%,1.1%,1.5%,1.6%,1.7%,1.1%,0.8%,1.1%,1.0%,,,
BJTM.JK,Bank Pembangunan Daerah Jawa Timur Tbk PT,Indonesia,Banks,20.3%,0.4%,0.7%,5.9%,18.4%,1.6%,6.3%,5.8%,-3.6%,16.4%,-6.7%,7.4%,23.5%,,"3,468,398,700.88","2,883,266,623.84","2,871,448,561.40","2,850,857,905.98","2,692,519,164.27","2,274,413,008.70","2,238,142,793.96","2,104,904,751.30","1,989,390,351.83","2,063,349,192.25","1,772,920,065.79","1,900,380,373.83","1,769,806,070.64","1,433,283,842.31","5,246,940,759.99","5,467,812,720.85","6,132,615,228.07","5,080,048,717.95","4,570,194,668.59","3,593,115,756.52","3,044,162,845.56","2,525,378,025.24","2,547,487,196.23","2,494,515,831.99","2,163,019,490.13","2,347,018,483.90","2,250,371,633.55","1,828,213,325.93",-4.0%,-10.8%,20.7%,11.2%,27.2%,18.0%,20.5%,-0.9%,2.1%,15.3%,-7.8%,4.3%,23.1%,,"716,153,556.35","664,721,619.02","652,434,526.32","599,127,991.45",,"517,320,626.09","510,747,143.38","488,493,615.44","402,802,611.53","435,382,229.40","394,909,950.66",,,,"141,987,788.24","102,793,125.60","148,652,000.00","115,532,763.53",,"91,530,434.78","107,494,655.36","105,007,498.14","88,486,325.72","70,115,508.89","40,601,398.03","56,924,714.43","35,164,459.16",,56.2%,57.3%,53.8%,54.6%,51.8%,55.6%,53.2%,49.8%,48.7%,45.3%,42.1%,42.8%,45.3%,40.5%,1.8%,2.0%,2.1%,1.9%,2.7%,3.1%,3.5%,3.4%,3.1%,3.9%,3.7%,3.7%,5.3%,
BGTG.JK,Bank Ganesha Tbk PT,Indonesia,Banks,8.0%,-7.3%,-13.4%,7.9%,-8.0%,18.8%,100.2%,-8.5%,-5.6%,-15.7%,5.2%,,,-9.1%,"183,139,222.61","169,529,824.56","182,851,923.08","211,212,463.98","195,660,313.04","212,646,885.37","179,035,783.22","89,445,484.22","97,778,836.83","103,533,881.58","122,884,228.76","116,764,723.95",,"84,534,093.42","361,411,885.64","443,527,719.30","293,761,396.01","260,338,832.85","230,904,973.91","250,074,161.44","230,625,463.99","124,934,856.73","152,876,252.02","143,820,230.26","182,485,014.64","178,905,532.45",,"133,105,569.32",-18.5%,51.0%,12.8%,12.7%,-7.7%,8.4%,84.6%,-18.3%,6.3%,-21.2%,2.0%,,,8.3%,"197,143,077.42","145,450,947.37","74,393,732.19","79,462,391.93","74,956,939.13","79,632,878.73","77,009,354.12",,,,,,,,"3,767,234.18","9,094,736.84","10,318,162.39","4,912,391.93","8,617,113.04",,,,,,,,,"1,742,979.83",49.4%,68.2%,69.9%,66.0%,63.9%,59.3%,59.9%,81.9%,92.3%,82.5%,88.0%,83.1%,,82.6%,0.7%,0.2%,0.1%,0.3%,0.2%,1.5%,1.7%,0.4%,0.2%,1.0%,0.6%,0.7%,,0.6%
BBMD.JK,Bank Mestika Dharma Tbk PT,Indonesia,Banks,2.0%,9.1%,-9.0%,11.3%,1.0%,6.9%,-9.7%,-2.6%,7.3%,-8.5%,16.2%,9.7%,,,"557,644,835.60","546,973,192.44","501,566,792.55","551,032,432.00","495,202,475.27","490,089,456.99","458,260,574.03","507,637,676.46","521,361,177.92","485,748,130.45","531,033,292.03","456,973,710.32","416,679,747.12",,"709,320,167.39","796,317,747.64","705,163,276.31","642,870,288.37","582,810,964.40","617,782,768.94","577,562,065.47","509,147,077.10","520,389,962.29","483,373,532.41","564,940,454.25","564,730,251.50","501,322,269.39",,-10.9%,12.9%,9.7%,10.3%,-5.7%,7.0%,13.4%,-2.2%,7.7%,-14.4%,0.0%,12.6%,,,"291,713,074.20","306,667,508.77","293,120,584.05","251,851,657.06","208,956,243.48","218,494,213.05","197,794,110.04","160,939,800.30","155,952,737.89","147,202,898.76",,,,,"13,620,376.81","19,332,959.84","24,195,544.88","12,685,344.06","11,769,573.22","12,911,235.56","16,738,638.60","11,647,666.25","11,386,206.80","37,542,809.83",,,,,39.0%,36.9%,40.7%,49.8%,47.8%,42.1%,40.3%,43.2%,43.3%,38.0%,36.1%,33.4%,30.9%,,4.1%,4.4%,3.1%,2.6%,3.0%,3.2%,2.4%,3.6%,3.8%,5.4%,5.1%,4.3%,,
AGRS.JK,Bank IBK Indonesia Tbk PT,Indonesia,Banks,22.2%,19.8%,23.5%,37.2%,0.2%,-4.9%,7.2%,1.1%,36.2%,74.3%,78.7%,,,,"504,280,051.40","412,521,122.81","344,384,615.38","278,876,585.01","203,280,278.26","202,950,976.78","213,460,653.30","199,147,769.31","196,953,958.00","144,590,789.47","82,936,137.07","46,418,322.30",,,"599,623,835.53","465,783,228.07","348,812,321.94","371,904,683.00","245,596,104.35","242,714,780.69","256,746,622.12","262,699,093.22","291,333,683.36","173,125,493.42","97,673,831.78","83,459,823.40",,,28.7%,33.5%,-6.2%,51.4%,1.2%,-5.5%,-2.3%,-9.8%,68.3%,77.2%,17.0%,,,,"264,085,448.12","203,662,105.26","132,935,113.96","91,821,253.60","32,981,704.35","36,979,727.24","39,338,530.07","36,168,879.22","35,050,403.88","28,504,440.79",,,,,"9,660,263.41","8,810,947.37","15,471,225.07","34,972,406.34","13,355,686.96",,"7,640,905.72","3,502,430.18","1,319,063.00","497,450.66","64,070.61","29,690.95",,,63.5%,82.4%,159.2%,113.6%,95.0%,101.1%,92.0%,87.2%,91.8%,85.1%,92.6%,91.1%,,,0.6%,0.1%,-2.1%,-4.9%,-0.7%,-0.2%,0.2%,0.2%,0.2%,0.8%,0.5%,,,
NOBU.JK,Bank Nationalnobu Tbk PT,Indonesia,Banks,15.7%,29.9%,2.9%,13.5%,25.8%,21.5%,17.4%,30.1%,90.4%,137.4%,140.1%,969.9%,,,"792,141,599.74","684,457,824.56","526,880,555.56","512,021,397.69","451,090,573.91","358,584,740.14","295,216,184.11","251,451,867.97","193,270,355.41","101,481,825.66","42,742,056.07","17,805,077.26","1,664,186.56",,"1,004,639,511.73","1,189,932,771.93","755,750,498.58","728,714,913.54","698,518,817.39","702,610,246.96","563,383,221.97","397,278,998.91","368,338,933.76","234,267,763.16","99,120,353.06","22,090,176.60","1,599,888.95",,-15.6%,57.5%,3.7%,4.3%,-0.6%,24.7%,41.8%,7.9%,57.2%,136.3%,348.7%,"1,280.7%",,,"109,795,117.25","114,266,666.67","100,835,042.74","95,218,659.94","91,107,408.70","97,556,579.43","94,446,102.45","82,073,920.93","94,880,856.22","86,914,638.16","26,026,791.28",,,,"4,221,201.41","1,762,385.96","183,475.78",,,,,,,0.00,0.00,0.00,0.00,,77.8%,79.4%,87.7%,87.6%,83.5%,87.4%,86.0%,87.3%,85.4%,73.0%,86.4%,77.5%,63.0%,,0.6%,0.5%,0.5%,0.5%,0.4%,0.4%,0.5%,0.4%,0.4%,0.8%,0.5%,1.1%,,
VICO.JK,Victoria Investama Tbk PT,Indonesia,Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4%,-0.5%,-1.0%,0.1%,0.3%,0.7%,3.7%,5.3%,6.5%,12.8%,12.8%,12.2%,,
DNAR.JK,Bank Oke Indonesia Tbk PT,Indonesia,Banks,33.6%,25.7%,29.2%,16.2%,98.4%,2.9%,19.9%,19.2%,71.2%,61.0%,90.2%,,,,"509,454,148.60","381,223,559.70","303,193,612.49","234,651,871.02","201,891,633.31","101,746,912.89","98,839,693.33","82,409,884.64","69,147,597.17","40,400,873.60","25,087,671.31","13,192,583.69",,,"383,468,929.38","318,572,112.24","259,139,501.36","218,809,916.28","200,876,206.27","151,483,093.42","136,705,241.31","117,632,782.78","97,431,088.39","46,848,853.48","31,147,340.90","12,940,879.31",,,20.4%,22.9%,18.4%,8.9%,32.6%,10.8%,16.2%,20.7%,108.0%,50.4%,140.7%,,,,"222,555,862.51","202,222,175.44","169,243,233.62","99,349,135.45",,"30,890,232.22","30,658,648.85","29,406,456.29","27,610,177.71","20,735,690.79",,,,,"10,379,791.68","9,890,164.51","8,530,771.15","5,460,575.19",,,,,,,,,,,63.2%,73.2%,83.2%,105.1%,79.3%,81.0%,77.9%,74.1%,89.6%,71.8%,68.0%,67.2%,,,0.2%,0.4%,0.3%,-0.2%,0.8%,0.5%,0.8%,1.0%,0.3%,1.4%,1.6%,,,
PNBS.JK,Bank Panin Dubai Syariah Tbk PT,Indonesia,Banks,11.9%,-5.3%,5.1%,42.5%,-7.2%,-5.1%,14.1%,6.8%,79.7%,34.8%,103.4%,212.9%,,,"649,481,925.99","580,383,301.33","613,051,232.19","583,109,441.43","409,177,147.83","441,077,908.74","464,962,351.45","407,664,060.86","381,620,689.01","212,325,863.08","157,564,099.38","77,457,984.33","24,755,672.18",,"756,646,974.69","847,730,529.61","579,741,886.40","675,845,671.83","488,435,082.50","610,778,545.08","559,187,271.64","431,145,929.85","411,508,995.88","239,229,029.03","150,405,381.72","46,635,992.05","34,596,103.28",,-10.7%,46.2%,-14.2%,38.4%,-20.0%,9.2%,29.7%,4.8%,72.0%,59.1%,222.5%,34.8%,,,"150,346,181.05","146,114,080.21","192,782,885.97","83,156,983.57","102,131,459.83","45,485,377.88","81,300,574.31","79,857,317.59","83,265,426.41","42,379,029.19","48,820,137.90","49,218,552.43","15,380,734.70",,,,,,,,,,,,,,,,40.6%,71.1%,101.9%,94.5%,93.9%,92.4%,73.0%,62.7%,49.3%,60.6%,42.7%,64.7%,158.9%,,1.7%,-6.4%,0.1%,0.2%,0.2%,-11.2%,0.3%,1.1%,1.9%,0.9%,3.1%,2.0%,,
BINA.JK,Bank Ina Perdana Tbk PT,Indonesia,Banks,144.2%,24.2%,13.6%,47.7%,13.9%,4.6%,-4.5%,4.5%,16.7%,-23.0%,-8.9%,87.6%,6.6%,38.5%,"611,093,992.93","250,256,561.40","201,413,817.66","177,234,942.36","119,973,147.83","105,347,438.26","100,703,637.71","105,478,273.49","100,902,100.16","86,436,430.92","112,327,414.33","123,317,867.98","65,749,527.23","61,680,750.63","1,032,087,568.26","879,235,649.12","507,222,649.57","288,980,907.78","182,199,165.22","139,873,940.29","138,314,847.81","126,705,549.51","132,071,405.49","100,561,677.63","142,110,799.58","145,224,136.91","91,632,190.54","77,319,536.84",17.4%,73.3%,75.5%,58.6%,30.3%,1.1%,9.2%,-4.1%,31.3%,-29.2%,-2.1%,58.5%,18.5%,50.3%,"206,837,134.60","162,982,596.49","85,242,165.24","82,792,146.97","82,013,982.61","85,525,617.40","33,739,346.70","20,323,975.34","22,903,877.22","12,806,332.24","12,408,515.06",,,,"13,939,029.87","15,557,052.63","6,310,113.96","8,636,311.24","2,979,130.43","4,988,131.22","3,203,711.95","222,125.50","790,710.82","318,174.34","409,553.48","1,369,266.71","1,544,215.38","273,392.61",48.6%,64.4%,64.1%,79.1%,69.8%,64.3%,61.1%,74.4%,68.5%,82.7%,82.0%,86.7%,76.7%,61.6%,1.1%,0.4%,0.4%,0.2%,0.5%,0.9%,1.0%,1.1%,1.3%,0.8%,1.2%,0.3%,1.0%,2.6%
BBYB.JK,PT Bank Neo Commerce Tbk,Indonesia,Banks,120.0%,15.5%,-3.8%,3.0%,-8.3%,16.6%,26.6%,18.4%,30.4%,-39.7%,23.6%,,,,"644,633,986.51","292,971,466.60","253,756,138.46","263,730,092.51","256,091,904.22","279,261,762.59","239,412,637.88","189,054,211.31","159,716,082.47","122,458,920.29","203,110,241.95","164,301,609.27",,,"946,988,307.10","573,421,564.26","303,779,470.48","299,004,981.09","270,140,142.18","315,716,285.44","255,619,792.29","219,167,865.23","193,434,475.96","166,260,121.14","237,832,037.07","226,247,594.48",,,65.1%,88.8%,1.6%,10.7%,-14.4%,23.5%,16.6%,13.3%,16.3%,-30.1%,5.1%,,,,"228,582,653.39","193,315,859.65","77,246,723.65","65,337,463.98","39,196,382.61","41,546,258.75","39,685,374.91","22,525,208.56",,"17,625,246.71","23,727,414.33","22,035,982.34",,,"13,500,610.34","5,081,137.21","10,570,653.52","11,915,166.56",,,,,,"4,882,916.13","7,314,044.34","7,525,764.24",,,97.4%,290.4%,94.7%,57.2%,72.5%,59.7%,64.6%,81.5%,88.6%,88.3%,90.4%,70.8%,,,-5.1%,-11.8%,0.3%,0.4%,-2.9%,0.4%,2.4%,1.1%,0.6%,0.7%,0.5%,,,
BRIS.JK,Pt Bank Syariah Indonesia Tbk,Indonesia,Banks,11.9%,10.8%,9.9%,531.5%,17.4%,4.3%,8.7%,11.0%,-12.9%,4.0%,-4.1%,5.8%,,,"9,421,203,572.59","8,419,760,038.55","7,601,399,859.65","6,919,730,911.68","1,095,821,757.93","933,226,434.78","894,386,067.08","822,983,890.13","741,486,035.55","850,820,840.06","818,041,858.55","853,384,319.83","806,845,916.11",,"19,260,866,580.06","17,090,820,173.47","16,544,035,017.54","15,171,521,438.75","2,532,636,959.65","2,134,505,391.30","2,017,944,489.50","1,781,127,394.21","1,524,447,587.96","1,447,031,583.20","1,253,840,871.71","1,298,498,338.53","1,110,544,260.49",,12.7%,3.3%,9.0%,499.0%,18.7%,5.8%,13.3%,16.8%,5.3%,15.4%,-3.4%,16.9%,,,"2,344,620,136.41","2,006,571,988.44","1,626,176,771.93","1,454,444,017.09","343,667,219.02",,"180,782,012.53","173,444,172.23",,,,,,,,,,,,,,,,,,,,,51.5%,52.3%,53.7%,54.9%,57.9%,61.0%,66.1%,67.7%,74.0%,93.0%,83.1%,75.2%,51.5%,,2.2%,1.9%,1.6%,2.1%,0.3%,0.4%,0.5%,0.9%,0.8%,0.1%,1.2%,1.1%,,
BBHI.JK,Allo Bank Indonesia Tbk PT,Indonesia,Banks,3.5%,201.6%,71.5%,-20.7%,5.1%,-15.8%,23.7%,-3.0%,-13.2%,22.3%,-16.6%,,,,"475,707,030.81","459,561,670.96","152,372,774.44","88,833,973.67","112,036,098.11","106,592,813.57","126,646,278.60","102,386,244.38","105,509,405.54","121,553,676.57","99,353,141.33","119,059,077.91",,,"333,147,277.17","292,606,417.18","163,980,957.48","106,377,951.29","157,790,414.18","131,686,409.20","145,817,176.49","122,484,619.19","121,678,652.40","137,366,979.51","115,498,188.19","158,982,206.11",,,13.9%,78.4%,54.1%,-32.6%,19.8%,-9.7%,19.0%,0.7%,-11.4%,18.9%,-27.4%,,,,"442,455,797.34","406,692,515.26","89,456,000.00","21,346,153.85","17,481,844.38","20,629,565.22","28,477,921.12","25,100,593.91","24,168,951.76","18,671,163.17","14,834,786.18","15,512,876.43",,,"389,763.99","58,110.38","797,360.95","2,511,830.34","12,160,252.27","2,631,764.94","3,057,629.91","2,936,754.13","7,755,176.45","4,380,608.36","1,620,791.30","3,753,745.71",,,46.2%,47.9%,28.0%,169.6%,73.3%,106.4%,85.1%,79.5%,85.0%,78.2%,86.1%,65.7%,,,4.8%,4.5%,6.1%,1.8%,-1.9%,-5.1%,0.7%,0.5%,-2.9%,1.0%,0.9%,,,
ARTO.JK,Bank Jago Tbk PT,Indonesia,Banks,59.9%,525.1%,224.5%,-32.1%,-22.3%,0.3%,1.3%,-23.2%,25.5%,9.2%,16.8%,-0.1%,,,"588,359,588.82","367,844,421.05","58,846,367.52","18,131,914.02","26,696,395.02","34,356,697.52","34,256,255.90","33,816,647.96","44,060,738.18","35,118,580.04","32,167,402.93","27,538,769.82","27,573,981.40",,"531,610,921.94","258,078,736.84","57,390,099.72","45,173,614.98","37,294,838.37","50,527,453.87","45,223,298.08","45,783,870.05","58,539,395.92","44,742,290.03","41,678,242.72","38,307,074.63","33,141,350.54",,106.0%,349.7%,27.0%,21.1%,-26.2%,11.7%,-1.2%,-21.8%,30.8%,7.4%,8.8%,15.6%,,,"467,770,318.02","537,972,350.88","76,200,854.70","47,702,593.66","7,403,547.83","9,972,134.17","10,409,428.36","7,561,117.16","8,171,082.39","8,768,750.00","10,777,258.57","11,328,807.95","11,813,103.83",,"5,805,460.97","3,676,210.53",0.00,"419,231.90",,,,,,,,,,,71.3%,84.0%,268.7%,398.5%,140.3%,102.7%,192.6%,99.8%,94.1%,89.6%,96.9%,90.6%,104.2%,,0.1%,0.1%,-10.8%,-12.0%,-2.4%,-1.5%,-5.0%,0.0%,0.3%,0.5%,0.2%,0.7%,,
BTPS.JK,Bank BTPN Syariah Tbk PT,Indonesia,Banks,-4.1%,1.3%,10.8%,-1.5%,27.5%,12.9%,20.0%,38.2%,,,,,,,"671,570,964.60","700,116,543.53","691,399,508.77","624,011,752.14","633,793,659.94","496,928,904.35","440,156,874.31","366,805,716.41","265,344,722.52",,,,,,"790,176,550.83","775,298,747.19","771,032,771.93","697,944,943.02","682,162,103.75","530,723,408.70","483,569,922.59","400,882,256.87","277,193,978.96",,,,,,1.9%,0.6%,10.5%,2.3%,28.5%,9.8%,20.6%,44.6%,,,,,,,"534,963,559.60","515,206,360.42","475,169,684.21","394,923,504.27","370,187,968.30","265,481,043.48","157,387,025.43","112,063,251.67","76,610,953.94",,,,,,,,,,,,,,,,,,,,38.8%,37.1%,39.6%,44.8%,44.8%,49.2%,55.5%,65.4%,76.5%,,,,,,6.5%,11.5%,10.7%,7.1%,13.7%,12.3%,11.0%,8.9%,,,,,,
AMAR.JK,Bank Amar Indonesia PT,Indonesia,Banks,-13.9%,36.1%,-15.1%,52.3%,273.7%,5.9%,,,,,,,,,"135,533,707.16","157,395,736.70","115,676,910.04","136,266,316.14","89,471,787.06","23,945,194.62","22,612,060.06",,,,,,,,"81,304,749.50","282,055,725.12","208,524,211.32","164,913,433.14","77,455,579.34","26,394,084.92","5,089,005.57",,,,,,,,-71.2%,35.3%,26.4%,112.9%,193.5%,418.6%,,,,,,,,,"199,785,929.97","71,871,228.07","73,331,908.83","74,742,723.34","32,628,452.17","34,681,385.92","34,322,123.24",,,,,,,,"8,668,344.04","10,967,520.35","3,072,602.71","6,666,733.65","4,702,824.07","2,092,685.59","1,558,065.33",,,,,,,,53.8%,99.9%,95.9%,37.1%,43.2%,68.2%,59.0%,,,,,,,,-4.2%,0.0%,0.7%,3.1%,1.6%,0.8%,,,,,,,,
BBSI.JK,Krom Bank Indonesia Tbk PT,Indonesia,Banks,-19.0%,1.2%,50.9%,12.9%,8.8%,,,,,,,,,,"52,793,254.27","65,162,581.99","64,359,779.18","42,662,728.21","37,783,627.03","34,730,213.79",,,,,,,,,"14,989,199.18","27,188,443.62","29,523,709.18","31,297,644.00","30,948,774.37","28,949,276.72",,,,,,,,,-44.9%,-7.9%,-5.7%,1.1%,6.9%,,,,,,,,,,"196,228,393.16",,"71,652,666.87","35,413,326.05","26,865,391.30","27,382,233.69",,,,,,,,,"977,262.35",,,,,,,,,,,,,,32.6%,21.1%,29.9%,42.7%,36.9%,40.7%,,,,,,,,,3.3%,4.3%,3.8%,3.3%,4.1%,,,,,,,,,
BANK.JK,Bank Aladin Syariah Tbk PT,Indonesia,Banks,,-100.0%,-98.9%,-92.8%,-84.8%,,,,,,,,,,"86,187,985.87",0.00,"3,703.70","345,965.42","4,786,991.30","31,470,991.52",,,,,,,,,"51,053,646.00","72,855,017.54","2,861,182.34",72.05,"1,182.61","45,568,669.37",,,,,,,,,-29.9%,"2,446.3%","3,971,221.1%",-93.9%,-100.0%,,,,,,,,,,"200,301,381.30","72,906,315.79","45,619,658.12","42,709,726.22","36,754,573.91","42,773,829.71",,,,,,,,,,,,,,,,,,,,,,,394.1%,410.1%,-31.7%,39.3%,148.7%,131.0%,,,,,,,,,-7.7%,-8.4%,6.2%,11.2%,-6.6%,,,,,,,,,
MASB.JK,Bank Multiarta Sentosa PT,Indonesia,Banks,2.7%,2.4%,-6.5%,11.8%,,,,,,,,,,,"548,918,846.38","534,617,543.66","522,192,884.80","558,352,512.27","499,537,726.17",,,,,,,,,,"1,124,722,743.26","1,415,892,770.77","1,376,997,548.48","904,413,699.86","657,101,154.38",,,,,,,,,,-20.6%,2.8%,52.3%,37.6%,,,,,,,,,,,"217,566,364.74","190,126,068.70","135,226,463.72","117,132,704.14","103,564,443.34",,,,,,,,,,"26,133,786.95","19,585,829.93","24,185,919.56","23,536,843.97","5,159,011.79",,,,,,,,,,47.4%,43.7%,56.2%,52.6%,54.1%,,,,,,,,,,1.8%,1.2%,0.9%,1.2%,,,,,,,,,,
